Package,LibPath,Version,Priority,Built
zip,/home/eric/R/x86_64-pc-linux-gnu-library/3.4,1.0.0,NA,3.4.0
zoo,/home/eric/R/x86_64-pc-linux-gnu-library/3.4,1.8-0,NA,3.4.0
AlgDesign,/usr/local/lib/R/site-library,1.1-7.3,NA,3.4.1
assertthat,/usr/local/lib/R/site-library,0.2.0,NA,3.4.1
backports,/usr/local/lib/R/site-library,1.1.0,NA,3.4.1
base64enc,/usr/local/lib/R/site-library,0.1-3,NA,3.3.2
BH,/usr/local/lib/R/site-library,1.62.0-1,NA,3.4.1
bindr,/usr/local/lib/R/site-library,0.1,NA,3.4.1
bindrcpp,/usr/local/lib/R/site-library,0.2,NA,3.4.1
bitops,/usr/local/lib/R/site-library,1.0-6,NA,3.3.2
brew,/usr/local/lib/R/site-library,1.0-6,NA,3.4.1
broom,/usr/local/lib/R/site-library,0.4.2,NA,3.4.1
car,/usr/local/lib/R/site-library,2.1-5,NA,3.4.1
caTools,/usr/local/lib/R/site-library,1.17.1,NA,3.3.2
cellranger,/usr/local/lib/R/site-library,1.1.0,NA,3.4.1
colorspace,/usr/local/lib/R/site-library,1.3-2,NA,3.4.1
colourpicker,/usr/local/lib/R/site-library,0.3,NA,3.4.1
curl,/usr/local/lib/R/site-library,2.8.1,NA,3.4.1
data.table,/usr/local/lib/R/site-library,1.10.4,NA,3.4.1
data.tree,/usr/local/lib/R/site-library,0.7.0,NA,3.4.1
DBI,/usr/local/lib/R/site-library,0.7,NA,3.4.1
DEoptimR,/usr/local/lib/R/site-library,1.0-8,NA,3.4.1
devtools,/usr/local/lib/R/site-library,1.13.3,NA,3.4.1
DiagrammeR,/usr/local/lib/R/site-library,0.9.1,NA,3.4.1
dichromat,/usr/local/lib/R/site-library,2.0-0,NA,3.4.1
digest,/usr/local/lib/R/site-library,0.6.12,NA,3.4.1
doParallel,/usr/local/lib/R/site-library,1.0.10,NA,3.4.1
dplyr,/usr/local/lib/R/site-library,0.7.2,NA,3.4.1
DT,/usr/local/lib/R/site-library,0.2,NA,3.4.1
e1071,/usr/local/lib/R/site-library,1.6-8,NA,3.4.1
evaluate,/usr/local/lib/R/site-library,0.10.1,NA,3.4.1
forcats,/usr/local/lib/R/site-library,0.2.0,NA,3.4.1
